Tahun,Konsumsi
1960,
1961,
1962,
1963,
1964,
1965,
1966,
1967,
1968,
1969,
1970,
1971,14.3535621342037
1972,15.8985512453441
1973,15.8212951460355
1974,19.1881794410735
1975,21.4492220850006
1976,18.3328812317427
1977,21.729619905678
1978,31.7589604980755
1979,38.6848554602976
1980,46.1722618455012
1981,52.2796671077787
1982,61.4301056783616
1983,66.0973970333686
1984,71.4447774000828
1985,79.7599977481241
1986,92.0568115011528
1987,104.354760618985
1988,119.536425671018
1989,137.512582336753
1990,162.523828587346
1991,177.954723548889
1992,194.332809136152
1993,212.851705441869
1994,240.045432113699
1995,263.620970728318
1996,297.2017716089
1997,331.298023447081
1998,331.112569879041
1999,357.021014545486
2000,390.423657513976
2001,411.467900940411
2002,417.495963682737
2003,428.855821374508
2004,474.374382814166
2005,500.650785921685
2006,516.033912728677
2007,546.153483045941
2008,570.060473371623
2009,593.942967712664
2010,635.985247183333
2011,680.282022240018
2012,733.373890107275
2013,773.990814189092
2014,811.909858168648
2015,910
2016,956
2017,1021
2018,1064
2019,1084
